"","fecha","PP","PSOE","MM","Vox","UP","Cs","Derecha","Izquierda","PP.min","PSOE.min","MM.min","Vox.min","UP.min","Cs.min","Derecha.min","Izquierda.min","PP.max","PSOE.max","MM.max","Vox.max","UP.max","Cs.max","Derecha.max","Izquierda.max"
"18",2021-03-27,39,25.5,10.9,9.9,8.1,4.8,53.8,44.5,35.3,22,7.6,6.7,5.1,1.9,48.4,39.3,42.7,29,14.1,13,11.2,7.8,59.2,49.7
"19",2021-03-28,39.4,25,11.4,9.1,8.2,4.8,53.3,44.6,35.7,21.5,8.1,6,5.2,1.9,47.9,39.5,43.1,28.5,14.7,12.2,11.3,7.8,58.7,49.8
"20",2021-03-29,39.4,25.1,11.3,9.3,8.2,4.6,53.4,44.6,35.7,21.6,8,6.2,5.2,1.7,48,39.4,43.2,28.6,14.6,12.4,11.2,7.5,58.8,49.7
"21",2021-03-30,39.7,24.7,11.7,9,8.1,4.6,53.4,44.5,36,21.2,8.5,5.9,5.1,1.7,48,39.3,43.4,28.2,15,12.1,11.1,7.5,58.8,49.6
"22",2021-03-31,39.8,24.4,11.9,9.3,8,4.7,53.8,44.3,36.1,20.9,8.6,6.2,5,1.8,48.4,39.2,43.5,27.9,15.2,12.4,11,7.6,59.2,49.5
"23",2021-04-01,40.1,24.7,11.6,9.1,8,4.6,53.8,44.4,36.4,21.2,8.3,6,5,1.7,48.5,39.2,43.7,28.2,14.8,12.2,11.1,7.5,59.1,49.5
"24",2021-04-02,40.1,24.5,11.7,9.2,8.2,4.4,53.7,44.4,36.4,21,8.4,6.1,5.1,1.5,48.3,39.2,43.9,28.1,14.9,12.3,11.2,7.3,59.2,49.6
"25",2021-04-03,39.9,24.8,11.8,8.9,8,4.6,53.5,44.6,36.2,21.3,8.5,5.8,5,1.7,48.2,39.6,43.7,28.2,15.2,12,11,7.5,58.8,49.7
"26",2021-04-04,40,24.8,11.8,8.9,7.9,4.6,53.5,44.5,36.3,21.3,8.4,5.8,4.9,1.7,48.2,39.4,43.7,28.3,15.1,12,10.9,7.5,58.9,49.6
"27",2021-04-05,40,24.6,12,8.8,8.1,4.6,53.4,44.7,36.3,21.1,8.7,5.7,5,1.7,48.1,39.5,43.7,28.1,15.3,11.9,11.1,7.5,58.8,49.8
"28",2021-04-06,40.2,24.6,12.1,8.8,8,4.5,53.5,44.9,36.5,21.1,8.9,5.8,5,1.5,48.1,39.7,43.8,28.1,15.4,11.9,11.1,7.4,58.8,50
"29",2021-04-07,40.5,24.4,12,9.1,8,4.2,53.8,44.4,36.8,21,8.7,6,5,1.3,48.5,39.4,44.2,27.9,15.3,12.2,11.1,7.1,59.2,49.5
